# chan,time,lonWG,latWG,slantRange,lonTarg,latTarg,lrauvHeading,planarRange,lrauvDepth
8.000000000000000000e+00,1.760386693568547726e+09,-1.219467603582940427e+02,3.669546889522828792e+01,9.115935058593750000e+02,-1.219466527289887523e+02,3.669542642822515432e+01,8.393132027885485957e-02,9.115935058593750000e+02,1.176116085052490234e+01
8.000000000000000000e+00,1.760386700584469080e+09,-1.219462627516734159e+02,3.669571135193230305e+01,8.632479248046875000e+02,-1.219400911279536928e+02,3.669847125477556204e+01,3.543728736309554456e-02,8.632479248046875000e+02,2.974716186523437500e+01
8.000000000000000000e+00,1.760386708489744425e+09,-1.219454868599076036e+02,3.669576810360513974e+01,8.158176269531250000e+02,-1.219400240937642224e+02,3.669972310929566106e+01,1.480196712877711318e-01,8.158176269531250000e+02,1.905262184143066406e+01
8.000000000000000000e+00,1.760386717171021223e+09,-1.219447981467718165e+02,3.669581908618209098e+01,7.770123901367187500e+02,-1.219400286899813466e+02,3.670068673368343326e+01,3.802971499155738955e-01,7.770123901367187500e+02,3.061173820495605469e+01
8.000000000000000000e+00,1.760386727470235825e+09,-1.219440494648446531e+02,3.669598718188443343e+01,7.266080322265625000e+02,-1.219396873592196897e+02,3.670093956508705446e+01,5.897197563358906880e-01,7.266080322265625000e+02,1.857774925231933594e+01
8.000000000000000000e+00,1.760386736278653145e+09,-1.219430555957107600e+02,3.669643240219937042e+01,6.397897338867187500e+02,-1.219395489792284764e+02,3.670119836819473136e+01,7.861211753737722407e-01,6.397897338867187500e+02,3.876983225345611572e-01
8.000000000000000000e+00,1.760386746376885414e+09,-1.219425252615698128e+02,3.669680504734809290e+01,5.832221069335937500e+02,-1.219399143174984488e+02,3.670143645095027551e+01,1.004760278317944344e+00,5.832221069335937500e+02,1.256097602844238281e+01
8.000000000000000000e+00,1.760386754607182026e+09,-1.219421188603601109e+02,3.669723890866081462e+01,5.261696166992187500e+02,-1.219402940225086525e+02,3.670166883944047242e+01,1.228742293095038907e+00,5.261696166992187500e+02,3.062544250488281250e+01
8.000000000000000000e+00,1.760386762788379908e+09,-1.219418390946721473e+02,3.669774409020515549e+01,4.646472778320312500e+02,-1.219403872015230519e+02,3.670172105191803524e+01,1.440118488556514365e+00,4.646472778320312500e+02,1.978864288330078125e+01
8.000000000000000000e+00,1.760386772148371220e+09,-1.219416946600026819e+02,3.669835555117771264e+01,3.977057495117187500e+02,-1.219403832969843080e+02,3.670173466218116687e+01,1.557922075777860238e+00,3.977057495117187500e+02,3.123533439636230469e+01
8.000000000000000000e+00,1.760386780086583614e+09,-1.219416687988143195e+02,3.669890741171492010e+01,3.401128234863281250e+02,-1.219404171331089231e+02,3.670175639503625575e+01,1.595951732952105795e+00,3.401128234863281250e+02,1.897807312011718750e+01
8.000000000000000000e+00,1.760386789420484304e+09,-1.219417215037402542e+02,3.669995626551154544e+01,2.442076110839843750e+02,-1.219401908595516630e+02,3.670172291300885803e+01,1.895951732952105839e+00,2.442076110839843750e+02,4.147519767284393311e-01
8.000000000000000000e+00,1.760386797646126509e+09,-1.219418633103727529e+02,3.670042857990969054e+01,2.155897521972656250e+02,-1.219401507945661223e+02,3.670173564731381077e+01,2.195951732952105662e+00,2.155897521972656250e+02,8.458220481872558594e+00
8.000000000000000000e+00,1.760386806987042665e+09,-1.219422596669255512e+02,3.670093824597461207e+01,2.194323120117187500e+02,-1.219400293698315778e+02,3.670169407733131095e+01,2.422119184149935212e+00,2.194323120117187500e+02,2.898867607116699219e+01
8.000000000000000000e+00,1.760386813770372868e+09,-1.219427554503507878e+02,3.670132423292176327e+01,2.509764862060546875e+02,-1.219400204207031351e+02,3.670172480719472219e+01,2.210606771644920254e+00,2.509764862060546875e+02,2.150040626525878906e+01
8.000000000000000000e+00,1.760386821269364595e+09,-1.219432938030301727e+02,3.670177328623089608e+01,2.981940917968750000e+02,-1.219399856063544121e+02,3.670173281412376554e+01,1.910606771644920210e+00,2.981940917968750000e+02,3.018816757202148438e+01
8.000000000000000000e+00,1.760386827849951744e+09,-1.219436275396346758e+02,3.670225546470854994e+01,3.343648376464843750e+02,-1.219399565441912330e+02,3.670174426421311864e+01,1.610606771644920165e+00,3.343648376464843750e+02,2.018299293518066406e+01
8.000000000000000000e+00,1.760386835178668737e+09,-1.219437735589665408e+02,3.670328208606183296e+01,3.864253234863281250e+02,-1.219399184581757254e+02,3.670173825093206688e+01,1.310606771644920121e+00,3.864253234863281250e+02,2.537426054477691650e-01
8.000000000000000000e+00,1.760386841673872232e+09,-1.219436844428547460e+02,3.670378089681341294e+01,4.094412231445312500e+02,-1.219398935509270956e+02,3.670172603660329003e+01,1.010606771644920077e+00,4.094412231445312500e+02,8.164270401000976562e+00
8.000000000000000000e+00,1.760386849064206839e+09,-1.219433346993145051e+02,3.670430577429212349e+01,4.258172302246093750e+02,-1.219398670624517962e+02,3.670169671136573442e+01,7.106067716449200322e-01,4.258172302246093750e+02,2.863143539428710938e+01
8.000000000000000000e+00,1.760386855659818411e+09,-1.219428598842252711e+02,3.670470505264785288e+01,4.309437255859375000e+02,-1.219398349062978895e+02,3.670168891252334475e+01,4.106067716449200433e-01,4.309437255859375000e+02,2.187634849548339844e+01
8.000000000000000000e+00,1.760386863005270481e+09,-1.219421800297546952e+02,3.670499643580684790e+01,4.259342346191406250e+02,-1.219398121737808935e+02,3.670167496184856759e+01,1.106067716449200544e-01,4.259342346191406250e+02,2.985667419433593750e+01
8.000000000000000000e+00,1.760386869633562803e+09,-1.219415017659198668e+02,3.670509628286006887e+01,4.109291381835937500e+02,-1.219397963126852460e+02,3.670166184520434172e+01,-1.893932283550799345e-01,4.109291381835937500e+02,2.064537429809570312e+01
8.000000000000000000e+00,1.760386877081519127e+09,-1.219402802992120627e+02,3.670495466315833966e+01,3.670340576171875000e+02,-1.219396948472870292e+02,3.670167440314045848e+01,-4.893932283550799234e-01,3.670340576171875000e+02,1.968764513731002808e-01
8.000000000000000000e+00,1.760386883670257092e+09,-1.219397175910917355e+02,3.670475829973949544e+01,3.446564025878906250e+02,-1.219396896124163021e+02,3.670165555113181455e+01,-7.893932283550799678e-01,3.446564025878906250e+02,7.715229034423828125e+00
