# chan,time,lonWG,latWG,slantRange,lonTarg,latTarg,lrauvHeading,planarRange,lrauvDepth
8.000000000000000000e+00,1.760245100390738726e+09,-1.219362688638183698e+02,3.669398632408868366e+01,9.221982421875000000e+02,-1.219357010650562643e+02,3.669372312665592517e+01,-2.325379568403163413e-02,9.221982421875000000e+02,1.065417766571044922e+01
8.000000000000000000e+00,1.760245109268071413e+09,-1.219357741877863930e+02,3.669420100771032622e+01,9.170054931640625000e+02,-1.219341211505852272e+02,3.669395721930847998e+01,1.697172221378516754e-01,9.170054931640625000e+02,2.861814308166503906e+01
8.000000000000000000e+00,1.760245119120463371e+09,-1.219350020358566837e+02,3.669427339357731910e+01,9.404682617187500000e+02,-1.219393964718088057e+02,3.669936885968047591e+01,4.697172221378516643e-01,9.404682617187500000e+02,1.968598556518554688e+01
8.000000000000000000e+00,1.760245127791636705e+09,-1.219343595895292509e+02,3.669446902770523877e+01,9.511120605468750000e+02,-1.219397681501508828e+02,3.670078798656778218e+01,7.697172221378516532e-01,9.511120605468750000e+02,2.976193046569824219e+01
8.000000000000000000e+00,1.760245137769282103e+09,-1.219337606055471070e+02,3.669486330771641036e+01,9.448200073242187500e+02,-1.219400479233192272e+02,3.670136547187448173e+01,1.060705741621879472e+00,9.448200073242187500e+02,1.892479515075683594e+01
8.000000000000000000e+00,1.760245146593811989e+09,-1.219331504656261416e+02,3.669561339095561436e+01,9.122300415039062500e+02,-1.219398977896865546e+02,3.670167732120520299e+01,1.326938653206565233e+00,9.122300415039062500e+02,4.427419602870941162e-01
8.000000000000000000e+00,1.760245154177820921e+09,-1.219329484468937892e+02,3.669613636252919520e+01,8.829197387695312500e+02,-1.219399984529341623e+02,3.670162302695793244e+01,1.626938653206565277e+00,8.829197387695312500e+02,1.179503822326660156e+01
8.000000000000000000e+00,1.760245160063045979e+09,-1.219329423690949312e+02,3.669667658702013568e+01,8.429348144531250000e+02,-1.219401635166234001e+02,3.670151004715523868e+01,1.926938653206565322e+00,8.429348144531250000e+02,3.002759170532226562e+01
8.000000000000000000e+00,1.760245167293778181e+09,-1.219331742362114568e+02,3.669726961478301064e+01,7.842426757812500000e+02,-1.219402256383857690e+02,3.670144135787001005e+01,2.185623038821395969e+00,7.842426757812500000e+02,1.892636299133300781e+01
8.000000000000000000e+00,1.760245175672964573e+09,-1.219335366774902667e+02,3.669773773516020299e+01,7.268161621093750000e+02,-1.219402408968136342e+02,3.670141768934896476e+01,2.359277810095304240e+00,7.268161621093750000e+02,3.085082244873046875e+01
8.000000000000000000e+00,1.760245186079329967e+09,-1.219340708186552149e+02,3.669818892763538543e+01,6.576569824218750000e+02,-1.219402383526133917e+02,3.670140271606143045e+01,2.455870157946045129e+00,6.576569824218750000e+02,1.851160430908203125e+01
