# chan,time,lonWG,latWG,slantRange,lonTarg,latTarg,lrauvHeading,planarRange,lrauvDepth
9.000000000000000000e+00,1.760051241665682316e+09,-1.219364645752769150e+02,3.669360014540058046e+01,2.447013473510742188e+01,-1.219364746293703234e+02,3.669359148629577305e+01,-2.999999999999999889e-01,2.447013473510742188e+01,-4.031945466995239258e-01
9.000000000000000000e+00,1.760051248536052465e+09,-1.219359154642365866e+02,3.669355621758262487e+01,4.571605300903320312e+01,-1.219362083260292167e+02,3.669355676652616438e+01,-5.999999999999999778e-01,4.571605300903320312e+01,1.130130577087402344e+01
9.000000000000000000e+00,1.760051256416826010e+09,-1.219352645781627018e+02,3.669324824412601771e+01,1.151338195800781250e+02,-1.219362691426047576e+02,3.669377043923243065e+01,-8.999999999999999112e-01,1.151338195800781250e+02,3.126229286193847656e+01
9.000000000000000000e+00,1.760051263463634968e+09,-1.219347960693442445e+02,3.669284483634207561e+01,1.711690063476562500e+02,-1.219363001852431410e+02,3.669370538931587333e+01,-1.199999999999999956e+00,1.711690063476562500e+02,1.896788024902343750e+01
9.000000000000000000e+00,1.760051270307108641e+09,-1.219345008104740344e+02,3.669234839994855690e+01,2.280246124267578125e+02,-1.219363308905173113e+02,3.669371184337981617e+01,-1.500000000000000000e+00,2.280246124267578125e+02,3.073198127746582031e+01
9.000000000000000000e+00,1.760051278038074017e+09,-1.219344008564705888e+02,3.669173205348198508e+01,2.838560791015625000e+02,-1.219363679143144168e+02,3.669369888912779487e+01,-1.800000000000000044e+00,2.838560791015625000e+02,1.857471084594726562e+01
9.000000000000000000e+00,1.760051284880333900e+09,-1.219346425075018772e+02,3.669081288993006496e+01,3.628583679199218750e+02,-1.219362896513953416e+02,3.669377216412260623e+01,-2.100000000000000089e+00,3.628583679199218750e+02,4.358591735363006592e-01
9.000000000000000000e+00,1.760051292455391645e+09,-1.219349540194931052e+02,3.669031879602758295e+01,4.058392028808593750e+02,-1.219362683806835150e+02,3.669379458657817139e+01,-2.399999999999999911e+00,4.058392028808593750e+02,1.118674373626708984e+01
9.000000000000000000e+00,1.760051299266088724e+09,-1.219354221529888207e+02,3.668993123272005619e+01,4.389667663574218750e+02,-1.219362862456802930e+02,3.669380603505211269e+01,-2.699999999999999734e+00,4.389667663574218750e+02,2.943810081481933594e+01
9.000000000000000000e+00,1.760051306817572594e+09,-1.219361053199616549e+02,3.668963845941024715e+01,4.645984802246093750e+02,-1.219363141666998729e+02,3.669380996728776978e+01,-2.999999999999999556e+00,4.645984802246093750e+02,1.925424957275390625e+01
9.000000000000000000e+00,1.760051313619421721e+09,-1.219367767631764536e+02,3.668952233081704861e+01,4.802711791992187500e+02,-1.219363020598728582e+02,3.669381979750843215e+01,-3.299999999999999378e+00,4.802711791992187500e+02,3.039674758911132812e+01
9.000000000000000000e+00,1.760051321165642023e+09,-1.219375467343035808e+02,3.668958327258472707e+01,4.847366638183593750e+02,-1.219363077063877654e+02,3.669382735639072735e+01,-3.599999999999999201e+00,4.847366638183593750e+02,1.866754341125488281e+01
9.000000000000000000e+00,1.760051327861407757e+09,-1.219386013890045746e+02,3.668996590537484082e+01,4.747947692871093750e+02,-1.219363563009256239e+02,3.669384670051272934e+01,-3.899999999999999023e+00,4.747947692871093750e+02,4.193132221698760986e-01
9.000000000000000000e+00,1.760051335523554564e+09,-1.219391181667107986e+02,3.669032300254988144e+01,4.643991394042968750e+02,-1.219363155706332265e+02,3.669384344319968960e+01,-4.199999999999999289e+00,4.643991394042968750e+02,1.083320140838623047e+01
9.000000000000000000e+00,1.760051342283239603e+09,-1.219394857835977888e+02,3.669077234157784773e+01,4.461129150390625000e+02,-1.219362887061374465e+02,3.669384437582228031e+01,-4.499999999999999112e+00,4.461129150390625000e+02,2.909636497497558594e+01
9.000000000000000000e+00,1.760051349843592882e+09,-1.219396932768298853e+02,3.669136961613011039e+01,4.125796508789062500e+02,-1.219362625304493264e+02,3.669384045567557706e+01,-4.799999999999998934e+00,4.125796508789062500e+02,1.945062828063964844e+01
9.000000000000000000e+00,1.760051356553602934e+09,-1.219396720825228186e+02,3.669191821448640667e+01,3.752936706542968750e+02,-1.219362450508158133e+02,3.669384350226187763e+01,-5.099999999999998757e+00,3.752936706542968750e+02,3.020128822326660156e+01
9.000000000000000000e+00,1.760051364626229763e+09,-1.219394130931777056e+02,3.669250400389369560e+01,3.226487426757812500e+02,-1.219362319219924586e+02,3.669384546844449346e+01,-5.399999999999998579e+00,3.226487426757812500e+02,1.874708175659179688e+01
9.000000000000000000e+00,1.760051371433001280e+09,-1.219387120016914849e+02,3.669326317264908255e+01,2.320327453613281250e+02,-1.219362305389412313e+02,3.669385435503686210e+01,-5.099999999999998757e+00,2.320327453613281250e+02,2.915925383567810059e-01
9.000000000000000000e+00,1.760051378574873924e+09,-1.219383814033709541e+02,3.669367439576495116e+01,1.950955810546875000e+02,-1.219362196933044373e+02,3.669385272241025575e+01,-4.799999999999998934e+00,1.950955810546875000e+02,8.086857795715332031e+00
9.000000000000000000e+00,1.760051387687524557e+09,-1.219381947702548246e+02,3.669426177273292211e+01,1.878861541748046875e+02,-1.219361950617232111e+02,3.669381901810265845e+01,-4.499999999999999112e+00,1.878861541748046875e+02,2.855572128295898438e+01
9.000000000000000000e+00,1.760051398602897406e+09,-1.219382511359482066e+02,3.669481120893296122e+01,2.166954956054687500e+02,-1.219361864317327502e+02,3.669381140269247510e+01,-4.744173659187129743e+00,2.166954956054687500e+02,2.191891479492187500e+01
9.000000000000000000e+00,1.760051406222477674e+09,-1.219382963593690477e+02,3.669543153251723311e+01,2.637202453613281250e+02,-1.219382477628711428e+02,3.669473718989389965e+01,-5.044173659187129566e+00,2.637202453613281250e+02,2.979407691955566406e+01
9.000000000000000000e+00,1.760051412949551582e+09,-1.219381619931606906e+02,3.669597254777853124e+01,3.007867126464843750e+02,-1.219382423392090686e+02,3.669395139065535716e+01,-5.344173659187129388e+00,3.007867126464843750e+02,2.071030807495117188e+01
9.000000000000000000e+00,1.760051420524475813e+09,-1.219374735042997031e+02,3.669684016520629655e+01,3.569823303222656250e+02,-1.219370597320803284e+02,3.669398932648642386e+01,-5.644173659187129211e+00,3.569823303222656250e+02,1.901619285345077515e-01
9.000000000000000000e+00,1.760051427363638163e+09,-1.219370233676317667e+02,3.669717288370443242e+01,3.828858947753906250e+02,-1.219367002685979031e+02,3.669402579128851727e+01,-5.944173659187129033e+00,3.828858947753906250e+02,7.714795589447021484e+00
9.000000000000000000e+00,1.760051434975501776e+09,-1.219363286687073753e+02,3.669741817425816777e+01,4.037411804199218750e+02,-1.219362224428098642e+02,3.669390906996081014e+01,-6.244173659187128855e+00,4.037411804199218750e+02,2.825220870971679688e+01
9.000000000000000000e+00,1.760051441758708954e+09,-1.219356463086355404e+02,3.669748852433588837e+01,4.135488281250000000e+02,-1.219360870339724983e+02,3.669385652402666409e+01,-2.609883520075424457e-01,4.135488281250000000e+02,2.225632858276367188e+01
9.000000000000000000e+00,1.760051449510421276e+09,-1.219348888650319793e+02,3.669737224660327257e+01,4.143526916503906250e+02,-1.219359896811788957e+02,3.669379049379272573e+01,-5.609883520075424901e-01,4.143526916503906250e+02,2.952573204040527344e+01
9.000000000000000000e+00,1.760051456445472717e+09,-1.219342830140522409e+02,3.669710984398798104e+01,4.049186706542968750e+02,-1.219359296192439217e+02,3.669374092946090826e+01,-8.609883520075425345e-01,4.049186706542968750e+02,2.092071533203125000e+01
9.000000000000000000e+00,1.760051464267956495e+09,-1.219334487198188839e+02,3.669636387378886155e+01,3.722833557128906250e+02,-1.219358700059011085e+02,3.669364977148983087e+01,-1.160988352007542579e+00,3.722833557128906250e+02,-4.199329391121864319e-02
9.000000000000000000e+00,1.760051471133693218e+09,-1.219331567259591509e+02,3.669592465411830062e+01,3.556423645019531250e+02,-1.219358908006386883e+02,3.669361039909372835e+01,-1.460988352007542623e+00,3.556423645019531250e+02,7.368747711181640625e+00
9.000000000000000000e+00,1.760051478042587757e+09,-1.219330407419904105e+02,3.669540001664887541e+01,3.297604064941406250e+02,-1.219359349082647128e+02,3.669358263960162958e+01,-1.760988352007542668e+00,3.297604064941406250e+02,2.551545715332031250e+01
9.000000000000000000e+00,1.760051486519595146e+09,-1.219331411760663428e+02,3.669478563263580639e+01,2.901193847656250000e+02,-1.219359834513176963e+02,3.669355853082084451e+01,-1.757047706702532297e+00,2.901193847656250000e+02,2.266000938415527344e+01
9.000000000000000000e+00,1.760051495252660990e+09,-1.219332925451584799e+02,3.669424502317479408e+01,2.602078857421875000e+02,-1.219360517609609929e+02,3.669355916816675034e+01,-1.500956838189239972e+00,2.602078857421875000e+02,2.686460685729980469e+01
9.000000000000000000e+00,1.760051502824192047e+09,-1.219333472944785228e+02,3.669362407251892932e+01,2.507116699218750000e+02,-1.219361266305930513e+02,3.669357900811014161e+01,-1.331998170887776833e+00,2.507116699218750000e+02,2.143704414367675781e+01
9.000000000000000000e+00,1.760051509643938303e+09,-1.219331806604390209e+02,3.669275182524322787e+01,2.888102722167968750e+02,-1.219361908186516104e+02,3.669365768566822084e+01,-1.631998170887776878e+00,2.888102722167968750e+02,2.505722284317016602e+00
9.000000000000000000e+00,1.760051517306424141e+09,-1.219331135438971074e+02,3.669210980031005676e+01,3.274270629882812500e+02,-1.219362315537520374e+02,3.669365565987931177e+01,-1.931998170887776922e+00,3.274270629882812500e+02,6.988687038421630859e+00
9.000000000000000000e+00,1.760051524106027365e+09,-1.219332857628108400e+02,3.669159483060997928e+01,3.538561401367187500e+02,-1.219362580191934313e+02,3.669368685507072314e+01,-2.231998170887776745e+00,3.538561401367187500e+02,2.513973236083984375e+01
9.000000000000000000e+00,1.760051532122900009e+09,-1.219337080288069188e+02,3.669107636623773061e+01,3.731109008789062500e+02,-1.219362807999907119e+02,3.669371461032096704e+01,-2.531998170887776567e+00,3.731109008789062500e+02,2.301680374145507812e+01
9.000000000000000000e+00,1.760051539071967840e+09,-1.219342304454482928e+02,3.669072023679766659e+01,3.837362365722656250e+02,-1.219362972912474703e+02,3.669374146785155233e+01,-2.831998170887776389e+00,3.837362365722656250e+02,2.649190711975097656e+01
