# chan,time,lonWG,latWG,slantRange,lonTarg,latTarg,lrauvHeading,planarRange,lrauvDepth
9.000000000000000000e+00,1.759955520984499693e+09,-1.219295505520492071e+02,3.669533938210964408e+01,6.096981201171875000e+02,-1.219294382168809392e+02,3.669521569427112695e+01,3.502317655344475839e-02,6.096981201171875000e+02,2.544457244873046875e+01
9.000000000000000000e+00,1.759955529088251352e+09,-1.219290287954356558e+02,3.669554613062975079e+01,6.601989135742187500e+02,-1.219335195247460177e+02,3.669300497188933008e+01,3.350231765534447681e-01,6.601989135742187500e+02,2.524847602844238281e+01
9.000000000000000000e+00,1.759955537302336693e+09,-1.219280328581856594e+02,3.669576360675212356e+01,7.497313842773437500e+02,-1.219350876500762269e+02,3.669339520743434946e+01,6.350231765534447570e-01,7.497313842773437500e+02,4.600382328033447266e+00
9.000000000000000000e+00,1.759955546427586555e+09,-1.219272759491389024e+02,3.669607813092305548e+01,8.216238403320312500e+02,-1.219354101733168676e+02,3.669363647007126161e+01,9.350231765534446904e-01,8.216238403320312500e+02,6.081640720367431641e+00
9.000000000000000000e+00,1.759955554732812405e+09,-1.219268494704460295e+02,3.669645504862509000e+01,8.751138916015625000e+02,-1.219353954695418309e+02,3.669314019908827618e+01,1.235023176553444735e+00,8.751138916015625000e+02,2.418088340759277344e+01
9.000000000000000000e+00,1.759955563991534948e+09,-1.219265588517650372e+02,3.669699366226375048e+01,9.247307739257812500e+02,-1.219354188929036695e+02,3.669296839648478681e+01,1.535023176553444779e+00,9.247307739257812500e+02,2.392029571533203125e+01
9.000000000000000000e+00,1.759955572506014347e+09,-1.219264978632141094e+02,3.669751551868164086e+01,9.566959228515625000e+02,-1.219353976154925618e+02,3.669293042520386905e+01,1.835023176553444824e+00,9.566959228515625000e+02,2.560391426086425781e+01
9.000000000000000000e+00,1.759955581706251860e+09,-1.219266610382619405e+02,3.669808905513015418e+01,9.763596801757812500e+02,-1.219354657156159760e+02,3.669302676331440694e+01,2.135023176553444646e+00,9.763596801757812500e+02,2.271254920959472656e+01
9.000000000000000000e+00,1.759955589848570824e+09,-1.219272141715042608e+02,3.669882466150137645e+01,9.805689697265625000e+02,-1.219360952101901319e+02,3.669369359141292364e+01,2.435023176553444468e+00,9.805689697265625000e+02,5.089895248413085938e+00
9.000000000000000000e+00,1.759955599157516718e+09,-1.219276318766257532e+02,3.669939647834501528e+01,9.726140747070312500e+02,-1.219367931524552233e+02,3.669474509787148975e+01,2.735023176553444291e+00,9.726140747070312500e+02,5.778591156005859375e+00
9.000000000000000000e+00,1.759955607369842529e+09,-1.219282047198343832e+02,3.669961733408181459e+01,9.511515502929687500e+02,-1.219365328335473606e+02,3.669432813129680682e+01,2.948725600686791015e+00,9.511515502929687500e+02,2.392062187194824219e+01
9.000000000000000000e+00,1.759955616729070425e+09,-1.219289232392080748e+02,3.669973768651091461e+01,9.145634155273437500e+02,-1.219364728309190582e+02,3.669422572313922615e+01,3.138618705072409920e+00,9.145634155273437500e+02,2.418845558166503906e+01
9.000000000000000000e+00,1.759955624894230127e+09,-1.219295782192732958e+02,3.669974899883533936e+01,8.755984497070312500e+02,-1.219364597354682758e+02,3.669417195750764904e+01,3.308631257894881106e+00,8.755984497070312500e+02,2.539104461669921875e+01
