# chan,time,lonWG,latWG,slantRange,lonTarg,latTarg,lrauvHeading,planarRange,lrauvDepth
9.000000000000000000e+00,1.759939054459052086e+09,-1.219360491815727272e+02,3.669397924532501776e+01,2.515728569030761719e+01,-1.219360532354893252e+02,3.669399137068803185e+01,-2.999999999999999889e-01,2.515728569030761719e+01,1.227092552185058594e+01
9.000000000000000000e+00,1.759939065510413170e+09,-1.219354739180708123e+02,3.669411592835170666e+01,7.826531219482421875e+01,-1.219361726581126106e+02,3.669398829035782938e+01,-5.999999999999999778e-01,7.826531219482421875e+01,3.134979248046875000e+01
9.000000000000000000e+00,1.759939075658200741e+09,-1.219348635279707906e+02,3.669386037749060137e+01,1.189420394897460938e+02,-1.219360800386740635e+02,3.669368015190696752e+01,-6.352912178130688536e-01,1.189420394897460938e+02,1.900068092346191406e+01
9.000000000000000000e+00,1.759939087309871912e+09,-1.219342262332782383e+02,3.669350001189023658e+01,1.799020843505859375e+02,-1.219361682095834283e+02,3.669366525837953930e+01,-9.352912178130687870e-01,1.799020843505859375e+02,3.148282241821289062e+01
9.000000000000000000e+00,1.759939097719690084e+09,-1.219337642254438236e+02,3.669309045721541196e+01,2.298051300048828125e+02,-1.219361907418848006e+02,3.669370557710887937e+01,-1.235291217813068831e+00,2.298051300048828125e+02,1.857494926452636719e+01
9.000000000000000000e+00,1.759939109231923342e+09,-1.219333090886636342e+02,3.669220612915957247e+01,3.096019592285156250e+02,-1.219361957040526079e+02,3.669375720444315192e+01,-1.535291217813068876e+00,3.096019592285156250e+02,-3.723304271697998047e-01
9.000000000000000000e+00,1.759939119548676014e+09,-1.219332477092980298e+02,3.669169928554960336e+01,3.506286010742187500e+02,-1.219361959000681566e+02,3.669376902903249515e+01,-1.835291217813068920e+00,3.506286010742187500e+02,1.417249393463134766e+01
9.000000000000000000e+00,1.759939131204718590e+09,-1.219334067467600278e+02,3.669109847833911431e+01,3.900624389648437500e+02,-1.219361910737782040e+02,3.669378734147217358e+01,-2.135291217813068965e+00,3.900624389648437500e+02,3.132149505615234375e+01
9.000000000000000000e+00,1.759939141283468246e+09,-1.219337322926020732e+02,3.669061164179504431e+01,4.165452575683593750e+02,-1.219361932608516668e+02,3.669379013610465279e+01,-2.435291217813068787e+00,4.165452575683593750e+02,1.857427406311035156e+01
9.000000000000000000e+00,1.759939152550223112e+09,-1.219342919735839956e+02,3.669018070532506925e+01,4.374310913085937500e+02,-1.219361793038750790e+02,3.669380542577597026e+01,-2.735291217813068609e+00,4.374310913085937500e+02,3.080641365051269531e+01
9.000000000000000000e+00,1.759939162765280485e+09,-1.219349137925472206e+02,3.668993515859948218e+01,4.453585510253906250e+02,-1.219361772846200438e+02,3.669380961940223784e+01,-3.035291217813068432e+00,4.453585510253906250e+02,1.893393516540527344e+01
9.000000000000000000e+00,1.759939172845402479e+09,-1.219360688983614125e+02,3.668979391888417041e+01,4.446473693847656250e+02,-1.219361949790919084e+02,3.669380331651926497e+01,-3.335291217813068254e+00,4.446473693847656250e+02,3.786899745464324951e-01
