# chan,time,lonWG,latWG,slantRange,lonTarg,latTarg,lrauvHeading,planarRange,lrauvDepth
9.000000000000000000e+00,1.759863742249944925e+09,-1.219361919556479137e+02,3.669387136784278880e+01,1.410404777526855469e+01,-1.219362015872826106e+02,3.669386879034283311e+01,-2.999999999999999889e-01,1.410404777526855469e+01,9.057301521301269531e+00
9.000000000000000000e+00,1.759863751956501484e+09,-1.219356641254413915e+02,3.669398321306886857e+01,6.381893157958984375e+01,-1.219362909463359443e+02,3.669385562981501891e+01,-5.999999999999999778e-01,6.381893157958984375e+01,2.655019187927246094e+01
9.000000000000000000e+00,1.759863762866156340e+09,-1.219349830055486308e+02,3.669368802770303972e+01,1.176432189941406250e+02,-1.219362781437253886e+02,3.669370618180139587e+01,-7.594582471342438135e-01,1.176432189941406250e+02,2.170703697204589844e+01
9.000000000000000000e+00,1.759863772209172249e+09,-1.219344568046785611e+02,3.669333013986237546e+01,1.723197021484375000e+02,-1.219363102926087521e+02,3.669365191659271375e+01,-1.059458247134243747e+00,1.723197021484375000e+02,2.786141967773437500e+01
9.000000000000000000e+00,1.759863782365456104e+09,-1.219340303029580355e+02,3.669281171992212620e+01,2.287706451416015625e+02,-1.219363325455983471e+02,3.669365750274798188e+01,-1.359458247134243791e+00,2.287706451416015625e+02,2.046605873107910156e+01
9.000000000000000000e+00,1.759863791824795961e+09,-1.219337559319759663e+02,3.669196558857951374e+01,3.015594482421875000e+02,-1.219363337724044953e+02,3.669369890014894509e+01,-1.659458247134243836e+00,3.015594482421875000e+02,2.994484305381774902e-01
9.000000000000000000e+00,1.759863802374627590e+09,-1.219337829016946699e+02,3.669139992244116399e+01,3.467204589843750000e+02,-1.219363395898487710e+02,3.669372647285511135e+01,-1.959458247134243880e+00,3.467204589843750000e+02,1.361038589477539062e+01
9.000000000000000000e+00,1.759863811769153595e+09,-1.219340021050137750e+02,3.669088643279906137e+01,3.828057861328125000e+02,-1.219363240707890128e+02,3.669376531846583589e+01,-2.259458247134243702e+00,3.828057861328125000e+02,3.119302749633789062e+01
9.000000000000000000e+00,1.759863822345755577e+09,-1.219344669106813797e+02,3.669038646815056381e+01,4.125585327148437500e+02,-1.219363177870389876e+02,3.669378430220213971e+01,-2.559458247134243525e+00,4.125585327148437500e+02,1.851495933532714844e+01
9.000000000000000000e+00,1.759863831858395576e+09,-1.219350198507321466e+02,3.669005926589092326e+01,4.322693176269531250e+02,-1.219362922925490693e+02,3.669380778964558232e+01,-2.859458247134243347e+00,4.322693176269531250e+02,3.141780281066894531e+01
9.000000000000000000e+00,1.759863841261504173e+09,-1.219356693665822604e+02,3.668987902010130142e+01,4.408155822753906250e+02,-1.219362876577814063e+02,3.669381540896985427e+01,-3.159458247134243170e+00,4.408155822753906250e+02,1.860763168334960938e+01
9.000000000000000000e+00,1.759863851809717417e+09,-1.219369124748515247e+02,3.668986556449527825e+01,4.412806091308593750e+02,-1.219362787851882075e+02,3.669381898007510046e+01,-3.459458247134242992e+00,4.412806091308593750e+02,2.897239327430725098e-01
9.000000000000000000e+00,1.759863861243360281e+09,-1.219374948362510622e+02,3.668999912403609898e+01,4.382972106933593750e+02,-1.219362640814013474e+02,3.669382268897441435e+01,-3.759458247134242814e+00,4.382972106933593750e+02,1.089113903045654297e+01
9.000000000000000000e+00,1.759863871718100071e+09,-1.219381291247257906e+02,3.669033414523691050e+01,4.241354980468750000e+02,-1.219362386181629745e+02,3.669382699271672976e+01,-4.059458247134243081e+00,4.241354980468750000e+02,3.096968650817871094e+01
