# chan,time,lonWG,latWG,slantRange,lonTarg,latTarg,lrauvHeading,planarRange,lrauvDepth
8.000000000000000000e+00,1.760477426704331160e+09,-1.219364807847486105e+02,3.669360000187915460e+01,9.513212280273437500e+02,-1.219365170499457491e+02,3.669368699611921159e+01,0.000000000000000000e+00,9.513212280273437500e+02,-4.031288921833038330e-01
8.000000000000000000e+00,1.760477433889061213e+09,-1.219354790631257259e+02,3.669360733067206581e+01,9.863963012695312500e+02,-1.219404856456028909e+02,3.669297451951854327e+01,-2.399999999999999911e-01,9.863963012695312500e+02,2.475415611267089844e+01
8.000000000000000000e+00,1.760477441367709398e+09,-1.219353178606405237e+02,3.669360168926596799e+01,9.925162963867187500e+02,-1.219405642159638177e+02,3.669324734991407411e+01,-2.399999999999999911e-01,9.925162963867187500e+02,1.988996696472167969e+01
8.000000000000000000e+00,1.760477449816399097e+09,-1.219351445570456889e+02,3.669347215000659901e+01,1.011551696777343750e+03,-1.219406127340086101e+02,3.670033505952858377e+01,2.399999999999999911e-01,1.011551696777343750e+03,1.884665489196777344e+01
8.000000000000000000e+00,1.760477457363973379e+09,-1.219351807323915438e+02,3.669337860505441284e+01,1.019178405761718750e+03,-1.219404742022188088e+02,3.670092386499618442e+01,1.199999999999999956e-01,1.019178405761718750e+03,2.431341171264648438e+01
8.000000000000000000e+00,1.760477465911443710e+09,-1.219344326843575317e+02,3.669355605685095867e+01,1.033687988281250000e+03,-1.219403738554410381e+02,3.670147104525132420e+01,0.000000000000000000e+00,1.033687988281250000e+03,2.584469985961914062e+01
8.000000000000000000e+00,1.760477473390670061e+09,-1.219352583513512940e+02,3.669418639618285027e+01,9.334432983398437500e+02,-1.219404756531807124e+02,3.670143089980305717e+01,-2.399999999999999911e-01,9.334432983398437500e+02,2.457850724458694458e-01
8.000000000000000000e+00,1.760477481982792139e+09,-1.219353549390959444e+02,3.669426624715193697e+01,9.172054443359375000e+02,-1.219407463320151237e+02,3.670126431653773125e+01,-2.399999999999999911e-01,9.172054443359375000e+02,2.784455680847167969e+01
8.000000000000000000e+00,1.760477490666614294e+09,-1.219353336270351775e+02,3.669437197286586638e+01,9.069508056640625000e+02,-1.219407853275697704e+02,3.670121993653998516e+01,1.199999999999999956e-01,9.069508056640625000e+02,2.069090270996093750e+01
8.000000000000000000e+00,1.760477501807230234e+09,-1.219358936229033077e+02,3.669484600534797636e+01,8.363177490234375000e+02,-1.219408613902524934e+02,3.670117750536164891e+01,-2.399999999999999911e-01,8.363177490234375000e+02,1.993673896789550781e+01
8.000000000000000000e+00,1.760477511864869118e+09,-1.219359512426572536e+02,3.669474846452062167e+01,8.434504394531250000e+02,-1.219407403080855232e+02,3.670123420297655770e+01,1.199999999999999956e-01,8.434504394531250000e+02,2.037126731872558594e+01
8.000000000000000000e+00,1.760477522951610565e+09,-1.219354382343073979e+02,3.669419553426238423e+01,9.193437500000000000e+02,-1.219407998057963738e+02,3.670120974931064950e+01,1.199999999999999956e-01,9.193437500000000000e+02,2.188745117187500000e+01
8.000000000000000000e+00,1.760477532899246454e+09,-1.219359475812770768e+02,3.669471358198562427e+01,8.517546386718750000e+02,-1.219406132252799608e+02,3.670131997734699070e+01,-2.399999999999999911e-01,8.517546386718750000e+02,-2.301586419343948364e-01
8.000000000000000000e+00,1.760477543967175245e+09,-1.219361649097174052e+02,3.669470410069494903e+01,8.471787719726562500e+02,-1.219403437707473614e+02,3.670147192565308814e+01,-2.399999999999999911e-01,8.471787719726562500e+02,3.115017509460449219e+01
8.000000000000000000e+00,1.760477553810993671e+09,-1.219362624354391897e+02,3.669477296687085754e+01,8.363137207031250000e+02,-1.219404775288821980e+02,3.670143613875569599e+01,-2.399999999999999911e-01,8.363137207031250000e+02,2.417003822326660156e+01
8.000000000000000000e+00,1.760477563721113443e+09,-1.219362577787944986e+02,3.669486919974226424e+01,8.261289672851562500e+02,-1.219404671363417378e+02,3.670144975274658350e+01,-2.399999999999999911e-01,8.261289672851562500e+02,1.915644073486328125e+01
8.000000000000000000e+00,1.760477575026236773e+09,-1.219360531991605257e+02,3.669496744489446627e+01,8.222010498046875000e+02,-1.219400020359665007e+02,3.670162743758604762e+01,-2.399999999999999911e-01,8.222010498046875000e+02,1.926900291442871094e+01
8.000000000000000000e+00,1.760477584975478172e+09,-1.219359421146612874e+02,3.669491483013028699e+01,8.313955688476562500e+02,-1.219399016399338933e+02,3.670165865127110294e+01,-2.399999999999999911e-01,8.313955688476562500e+02,2.605397224426269531e+01
8.000000000000000000e+00,1.760477596110662937e+09,-1.219359515660426183e+02,3.669480307898299998e+01,8.411331176757812500e+02,-1.219399201510675255e+02,3.670164216485034814e+01,-2.399999999999999911e-01,8.411331176757812500e+02,-6.150201335549354553e-02
8.000000000000000000e+00,1.760477606029890537e+09,-1.219359305823553683e+02,3.669477439905207206e+01,8.468527221679687500e+02,-1.219399237070291804e+02,3.670164759211640160e+01,-2.399999999999999911e-01,8.468527221679687500e+02,2.627729606628417969e+01
8.000000000000000000e+00,1.760477616888875246e+09,-1.219361638404690495e+02,3.669467682683844600e+01,8.488611450195312500e+02,-1.219397972671436747e+02,3.670170599609060247e+01,-2.399999999999999911e-01,8.488611450195312500e+02,2.262796020507812500e+01
8.000000000000000000e+00,1.760477626712848186e+09,-1.219362478592871923e+02,3.669473682978497919e+01,8.397588500976562500e+02,-1.219398249031571169e+02,3.670169813408536896e+01,-2.399999999999999911e-01,8.397588500976562500e+02,1.891997718811035156e+01
8.000000000000000000e+00,1.760477638029411077e+09,-1.219362147163711256e+02,3.669492963520228557e+01,8.203505859375000000e+02,-1.219398226630099060e+02,3.670169923277362045e+01,-2.399999999999999911e-01,8.203505859375000000e+02,2.044033622741699219e+01
8.000000000000000000e+00,1.760477648008119345e+09,-1.219360877890168808e+02,3.669495937105001815e+01,8.214987182617187500e+02,-1.219397900765976601e+02,3.670171065069041560e+01,-2.399999999999999911e-01,8.214987182617187500e+02,2.779822158813476562e+01
8.000000000000000000e+00,1.760477659165465832e+09,-1.219359922149389632e+02,3.669485667042190613e+01,8.325773925781250000e+02,-1.219396698943003372e+02,3.670174330362974047e+01,-2.399999999999999911e-01,8.325773925781250000e+02,2.313316762447357178e-01
8.000000000000000000e+00,1.760477669038788080e+09,-1.219359802537941988e+02,3.669489877304199155e+01,8.324755859375000000e+02,-1.219397975592669070e+02,3.670170420403219680e+01,-2.399999999999999911e-01,8.324755859375000000e+02,2.278071594238281250e+01
8.000000000000000000e+00,1.760477679973378658e+09,-1.219360101929842699e+02,3.669469804237475330e+01,8.518838500976562500e+02,-1.219397775199821439e+02,3.670171540697396040e+01,1.199999999999999956e-01,8.518838500976562500e+02,2.036554908752441406e+01
8.000000000000000000e+00,1.760477689700019360e+09,-1.219362171837354225e+02,3.669401146117645851e+01,9.149206542968750000e+02,-1.219397710072960450e+02,3.670172028137100995e+01,1.199999999999999956e-01,9.149206542968750000e+02,1.923466110229492188e+01
8.000000000000000000e+00,1.760477700901854753e+09,-1.219362801600022976e+02,3.669463824360332183e+01,8.482804565429687500e+02,-1.219397847185789630e+02,3.670171561658119685e+01,-2.399999999999999911e-01,8.482804565429687500e+02,1.964366531372070312e+01
8.000000000000000000e+00,1.760477710808635712e+09,-1.219364065476088115e+02,3.669457592853802197e+01,8.507565917968750000e+02,-1.219397791246873055e+02,3.670171775499485278e+01,-2.399999999999999911e-01,8.507565917968750000e+02,2.669144439697265625e+01
8.000000000000000000e+00,1.760477721077425241e+09,-1.219364961084295658e+02,3.669451503504594569e+01,8.495249023437500000e+02,-1.219401015773569270e+02,3.670160710844651675e+01,-2.399999999999999911e-01,8.495249023437500000e+02,3.576937317848205566e-01
8.000000000000000000e+00,1.760477731456959248e+09,-1.219365768317061907e+02,3.669449516090085694e+01,8.442204589843750000e+02,-1.219402632704417471e+02,3.670154427910582484e+01,1.199999999999999956e-01,8.442204589843750000e+02,2.476665306091308594e+01
8.000000000000000000e+00,1.760477740715807676e+09,-1.219374509783946934e+02,3.669439585558380656e+01,8.293690185546875000e+02,-1.219403605550632506e+02,3.670151238906586144e+01,1.199999999999999956e-01,8.293690185546875000e+02,2.045122909545898438e+01
8.000000000000000000e+00,1.760477751423649311e+09,-1.219367496582581225e+02,3.669467470413277255e+01,8.199566650390625000e+02,-1.219403254972093578e+02,3.670151258675726069e+01,-2.399999999999999911e-01,8.199566650390625000e+02,1.979634666442871094e+01
8.000000000000000000e+00,1.760477761199317932e+09,-1.219368453417587830e+02,3.669474291827013701e+01,8.099808959960937500e+02,-1.219403222560259934e+02,3.670150562936017025e+01,-2.399999999999999911e-01,8.099808959960937500e+02,2.073400688171386719e+01
8.000000000000000000e+00,1.760477771814932823e+09,-1.219368412801394612e+02,3.669495071025329480e+01,7.877703857421875000e+02,-1.219403110447752709e+02,3.670150001911446935e+01,-2.399999999999999911e-01,7.877703857421875000e+02,2.459290695190429688e+01
