# chan,time,lonWG,latWG,slantRange,lonTarg,latTarg,lrauvHeading,planarRange,lrauvDepth
9.000000000000000000e+00,1.760049121740644932e+09,-1.219360325415076289e+02,3.669360232877242822e+01,3.472533416748046875e+01,-1.219360294304202057e+02,3.669359116471677851e+01,-2.999999999999999889e-01,3.472533416748046875e+01,-4.031798243522644043e-01
9.000000000000000000e+00,1.760049129488513947e+09,-1.219353915743193681e+02,3.669356918263402179e+01,8.551578521728515625e+01,-1.219360617421706934e+02,3.669359321543921482e+01,-5.999999999999999778e-01,8.551578521728515625e+01,1.447737979888916016e+01
9.000000000000000000e+00,1.760049136257035494e+09,-1.219348001717784484e+02,3.669330476700827148e+01,1.461830139160156250e+02,-1.219362342171987450e+02,3.669348019421177298e+01,-8.965557376373285425e-01,1.461830139160156250e+02,3.148401260375976562e+01
9.000000000000000000e+00,1.760049143892121315e+09,-1.219342764461772788e+02,3.669284720738780692e+01,2.072351684570312500e+02,-1.219363178162219441e+02,3.669346375721311659e+01,-1.196555737637328587e+00,2.072351684570312500e+02,1.866691398620605469e+01
9.000000000000000000e+00,1.760049150566160202e+09,-1.219339742305153180e+02,3.669235295078362924e+01,2.609029846191406250e+02,-1.219363831378091874e+02,3.669352543775276843e+01,-1.496555737637328631e+00,2.609029846191406250e+02,3.145173835754394531e+01
9.000000000000000000e+00,1.760049157283057928e+09,-1.219338681012267784e+02,3.669180927295332140e+01,3.064675903320312500e+02,-1.219364065916450102e+02,3.669357176446197144e+01,-1.796555737637328676e+00,3.064675903320312500e+02,1.849525260925292969e+01
9.000000000000000000e+00,1.760049164982825518e+09,-1.219341269702077994e+02,3.669085115844643497e+01,3.795335998535156250e+02,-1.219362965276205415e+02,3.669376311559312143e+01,-2.096555737637328498e+00,3.795335998535156250e+02,-9.852951392531394958e-03
9.000000000000000000e+00,1.760049171457960129e+09,-1.219344111941143325e+02,3.669041083010488080e+01,4.128829650878906250e+02,-1.219362661933846397e+02,3.669379918479361180e+01,-2.396555737637328320e+00,4.128829650878906250e+02,1.196871376037597656e+01
9.000000000000000000e+00,1.760049178795541048e+09,-1.219349446939829704e+02,3.668997623899729632e+01,4.433839721679687500e+02,-1.219362645789707216e+02,3.669381196666202527e+01,-2.696555737637328143e+00,4.433839721679687500e+02,3.137476921081542969e+01
9.000000000000000000e+00,1.760049185316834450e+09,-1.219355416392067610e+02,3.668970513520442012e+01,4.614555969238281250e+02,-1.219362792486563905e+02,3.669381411518607905e+01,-2.996555737637327965e+00,4.614555969238281250e+02,1.881418037414550781e+01
9.000000000000000000e+00,1.760049192697011709e+09,-1.219363003924251103e+02,3.668957919718266680e+01,4.718545227050781250e+02,-1.219362663948396204e+02,3.669382415783306328e+01,-3.296555737637327788e+00,4.718545227050781250e+02,3.147859191894531250e+01
9.000000000000000000e+00,1.760049199150107622e+09,-1.219369840787363444e+02,3.668963370303938376e+01,4.698934326171875000e+02,-1.219362706135256786e+02,3.669382692646026101e+01,-3.596555737637327610e+00,4.698934326171875000e+02,1.855781936645507812e+01
9.000000000000000000e+00,1.760049206527847767e+09,-1.219381008456617224e+02,3.669003819734379590e+01,4.496163024902343750e+02,-1.219363130860327828e+02,3.669383166353792092e+01,-3.896555737637327432e+00,4.496163024902343750e+02,1.009964346885681152e-01
9.000000000000000000e+00,1.760049213062362671e+09,-1.219385658657826497e+02,3.669035365879251742e+01,4.364734802246093750e+02,-1.219363041892198396e+02,3.669383458040375245e+01,-4.196555737637327255e+00,4.364734802246093750e+02,1.163710880279541016e+01
9.000000000000000000e+00,1.760049220353969574e+09,-1.219389774044515633e+02,3.669086660161008240e+01,4.103603515625000000e+02,-1.219362802372014158e+02,3.669383925710536687e+01,-4.496555737637327077e+00,4.103603515625000000e+02,3.130558395385742188e+01
9.000000000000000000e+00,1.760049226792232752e+09,-1.219391606177345864e+02,3.669139609062995788e+01,3.764699707031250000e+02,-1.219362682851485005e+02,3.669384484411558134e+01,-4.796555737637326899e+00,3.764699707031250000e+02,1.901179313659667969e+01
9.000000000000000000e+00,1.760049234136012554e+09,-1.219391309209769076e+02,3.669201713488347849e+01,3.307196044921875000e+02,-1.219362405371741005e+02,3.669384579307180161e+01,-5.096555737637326722e+00,3.307196044921875000e+02,3.148381233215332031e+01
9.000000000000000000e+00,1.760049240566748857e+09,-1.219389171530494735e+02,3.669253988270709499e+01,2.825320434570312500e+02,-1.219362249160268306e+02,3.669384841742542136e+01,-4.796555737637326899e+00,2.825320434570312500e+02,1.856957626342773438e+01
