# chan,time,lonWG,latWG,slantRange,lonTarg,latTarg,lrauvHeading,planarRange,lrauvDepth
8.000000000000000000e+00,1.760258669732552290e+09,-1.219467742428009842e+02,3.669536433287855459e+01,9.207849731445312500e+02,-1.219467666491229210e+02,3.669522621794776995e+01,9.361517524085639919e-02,9.207849731445312500e+02,7.627705574035644531e+00
8.000000000000000000e+00,1.760258677150752306e+09,-1.219462014512083812e+02,3.669562531847718390e+01,8.671339111328125000e+02,-1.219403297046429913e+02,3.669925077629326893e+01,8.598345670195282897e-02,8.671339111328125000e+02,2.800200271606445312e+01
8.000000000000000000e+00,1.760258683837799311e+09,-1.219455143377477526e+02,3.669569571499491190e+01,8.238015747070312500e+02,-1.219403348812521131e+02,3.669981239249263893e+01,2.140797029345042901e-01,8.238015747070312500e+02,2.248315238952636719e+01
8.000000000000000000e+00,1.760258691376949310e+09,-1.219447478494686408e+02,3.669579309686361057e+01,7.768914184570312500e+02,-1.219401693506251974e+02,3.670055194680413990e+01,4.294989759280733455e-01,7.768914184570312500e+02,2.917955017089843750e+01
8.000000000000000000e+00,1.760258698166239738e+09,-1.219440920125557852e+02,3.669596845465947865e+01,7.302286987304687500e+02,-1.219396693315785427e+02,3.670082648632209299e+01,6.068866254460569820e-01,7.302286987304687500e+02,2.124013137817382812e+01
8.000000000000000000e+00,1.760258705781547546e+09,-1.219430480847755831e+02,3.669648275523289271e+01,6.339255981445312500e+02,-1.219393556849521616e+02,3.670106898032231157e+01,7.615215323257457092e-01,6.339255981445312500e+02,2.670755386352539062e-01
8.000000000000000000e+00,1.760258712557661772e+09,-1.219425680821975675e+02,3.669680622846976092e+01,5.840166015625000000e+02,-1.219398960400911136e+02,3.670150781053574462e+01,9.801492998212367747e-01,5.840166015625000000e+02,8.333390235900878906e+00
8.000000000000000000e+00,1.760258724191723347e+09,-1.219421050814725334e+02,3.669728925930206742e+01,5.199279174804687500e+02,-1.219399987717003171e+02,3.670161114812039216e+01,1.192910841005758282e+00,5.199279174804687500e+02,2.883173561096191406e+01
8.000000000000000000e+00,1.760258734974381685e+09,-1.219418062396623412e+02,3.669778943535394689e+01,4.586706542968750000e+02,-1.219400212541206798e+02,3.670164268020656095e+01,1.387716845161390822e+00,4.586706542968750000e+02,2.171037864685058594e+01
8.000000000000000000e+00,1.760258745235794783e+09,-1.219416393195950263e+02,3.669832586778449013e+01,3.982922973632812500e+02,-1.219400030958964010e+02,3.670164905330288008e+01,1.483719527232635782e+00,3.982922973632812500e+02,2.786600112915039062e+01
8.000000000000000000e+00,1.760258753121112585e+09,-1.219415581252955292e+02,3.669894468562737444e+01,3.319200134277343750e+02,-1.219399994782896499e+02,3.670165278195127456e+01,1.515980459790404078e+00,3.319200134277343750e+02,2.041860389709472656e+01
8.000000000000000000e+00,1.760258759984607220e+09,-1.219415142262700016e+02,3.669984895661908553e+01,2.406376190185546875e+02,-1.219400153232141832e+02,3.670165135577381221e+01,1.815980459790404122e+00,2.406376190185546875e+02,1.142251968383789062e+00
8.000000000000000000e+00,1.760258767882260799e+09,-1.219416262237764954e+02,3.670045748659344298e+01,1.969070587158203125e+02,-1.219400031909473086e+02,3.670164572681363779e+01,2.115980459790403945e+00,1.969070587158203125e+02,7.805855274200439453e+00
8.000000000000000000e+00,1.760258775008470058e+09,-1.219419229316053475e+02,3.670093322747523246e+01,1.909182586669921875e+02,-1.219399855062446818e+02,3.670163599775908381e+01,2.415980459790403767e+00,1.909182586669921875e+02,2.596449661254882812e+01
8.000000000000000000e+00,1.760258783221739531e+09,-1.219424608294563797e+02,3.670137791683461614e+01,2.234513549804687500e+02,-1.219399861478344178e+02,3.670163782725225587e+01,2.316938000192671598e+00,2.234513549804687500e+02,2.236149406433105469e+01
8.000000000000000000e+00,1.760258792386507988e+09,-1.219429687140631273e+02,3.670175403599242259e+01,2.680949707031250000e+02,-1.219423664193451060e+02,3.670132794606828952e+01,2.016938000192671776e+00,2.680949707031250000e+02,2.730379676818847656e+01
8.000000000000000000e+00,1.760258803160599709e+09,-1.219434004809072576e+02,3.670226997198689389e+01,3.141225280761718750e+02,-1.219415539575734186e+02,3.670057799507475949e+01,1.716938000192671732e+00,3.141225280761718750e+02,2.102247047424316406e+01
8.000000000000000000e+00,1.760258813573344946e+09,-1.219436660788548465e+02,3.670313103911203001e+01,3.699839477539062500e+02,-1.219407820284427686e+02,3.670125172356738119e+01,1.416938000192671687e+00,3.699839477539062500e+02,1.601608037948608398e+00
8.000000000000000000e+00,1.760258826373181343e+09,-1.219436483627805217e+02,3.670377052822670549e+01,4.054081115722656250e+02,-1.219406501562486937e+02,3.670136891479845076e+01,1.116938000192671643e+00,4.054081115722656250e+02,7.547689914703369141e+00
8.000000000000000000e+00,1.760258834711604595e+09,-1.219434094402570565e+02,3.670426142511730205e+01,4.264638977050781250e+02,-1.219405082034440255e+02,3.670147377558473778e+01,8.169380001926715984e-01,4.264638977050781250e+02,2.573721313476562500e+01
8.000000000000000000e+00,1.760258842405962467e+09,-1.219429266830061920e+02,3.670474586214829316e+01,4.376339721679687500e+02,-1.219402461203419108e+02,3.670158371668310338e+01,5.169380001926715540e-01,4.376339721679687500e+02,2.249519348144531250e+01
8.000000000000000000e+00,1.760258848908784389e+09,-1.219423636995026214e+02,3.670506046448735304e+01,4.394726562500000000e+02,-1.219401565448973628e+02,3.670161992490553615e+01,2.169380001926715651e-01,4.394726562500000000e+02,2.706272315979003906e+01
8.000000000000000000e+00,1.760258856889187098e+09,-1.219416222677249664e+02,3.670523799000748966e+01,4.290994567871093750e+02,-1.219400341625333652e+02,3.670165695189290034e+01,-8.306199980732842381e-02,4.290994567871093750e+02,2.115973663330078125e+01
8.000000000000000000e+00,1.760258864201451302e+09,-1.219405262709737912e+02,3.670518709838680849e+01,3.987832946777343750e+02,-1.219397614317377219e+02,3.670165975340817965e+01,-3.830619998073284127e-01,3.987832946777343750e+02,2.600383996963500977e+00
8.000000000000000000e+00,1.760258871391656399e+09,-1.219398726925650180e+02,3.670505565959137328e+01,3.771167297363281250e+02,-1.219396772860315252e+02,3.670166770516976129e+01,-6.830619998073284016e-01,3.771167297363281250e+02,4.922906398773193359e+00
8.000000000000000000e+00,1.760258882262722254e+09,-1.219392856283025424e+02,3.670470051533483513e+01,3.438821105957031250e+02,-1.219396824419898167e+02,3.670163995455078521e+01,-9.830619998073284460e-01,3.438821105957031250e+02,2.519786262512207031e+01
8.000000000000000000e+00,1.760258893641038656e+09,-1.219388627076329925e+02,3.670426489861487340e+01,3.063098144531250000e+02,-1.219396850570232687e+02,3.670161368317765493e+01,-1.172633888508486155e+00,3.063098144531250000e+02,2.510652351379394531e+01
8.000000000000000000e+00,1.760258905300464153e+09,-1.219385383597650758e+02,3.670370091295196602e+01,2.604881896972656250e+02,-1.219397116154823664e+02,3.670158750941106973e+01,-8.726338885084861108e-01,2.604881896972656250e+02,2.669154357910156250e+01
8.000000000000000000e+00,1.760258913140206337e+09,-1.219381842018698165e+02,3.670322496775290944e+01,2.349285736083984375e+02,-1.219397653069694343e+02,3.670157041497255790e+01,-5.889277813330748845e-01,2.349285736083984375e+02,2.382842636108398438e+01
8.000000000000000000e+00,1.760258920651982784e+09,-1.219372795282575339e+02,3.670262663506720457e+01,2.594245605468750000e+02,-1.219398633449155511e+02,3.670158916411771344e+01,-8.889277813330749289e-01,2.594245605468750000e+02,3.332603454589843750e+00
8.000000000000000000e+00,1.760258927603093386e+09,-1.219367300405051253e+02,3.670223396047269659e+01,2.901696472167968750e+02,-1.219398714519060292e+02,3.670157907198888836e+01,-1.188927781333074973e+00,2.901696472167968750e+02,4.549563884735107422e+00
8.000000000000000000e+00,1.760258935088771582e+09,-1.219363902864542695e+02,3.670170721413526138e+01,3.158089904785156250e+02,-1.219399027896166530e+02,3.670159652373839521e+01,-1.488927781333075018e+00,3.158089904785156250e+02,2.480143356323242188e+01
8.000000000000000000e+00,1.760258942303663969e+09,-1.219362695554210489e+02,3.670116400834221793e+01,3.310216674804687500e+02,-1.219399221678568779e+02,3.670160154918152529e+01,-1.788927781333075062e+00,3.310216674804687500e+02,2.555349159240722656e+01
8.000000000000000000e+00,1.760258951040189028e+09,-1.219363812719323761e+02,3.670055145167091126e+01,3.395725097656250000e+02,-1.219399372029118638e+02,3.670161281450013746e+01,-2.088927781333075107e+00,3.395725097656250000e+02,2.606846618652343750e+01
8.000000000000000000e+00,1.760258960601845741e+09,-1.219366691594411662e+02,3.670004957960698988e+01,3.413694763183593750e+02,-1.219399472750666291e+02,3.670161894825657356e+01,-2.388927781333074929e+00,3.413694763183593750e+02,2.428064918518066406e+01
8.000000000000000000e+00,1.760258973538517475e+09,-1.219374860647106544e+02,3.669939322402189674e+01,3.326217041015625000e+02,-1.219399538038946957e+02,3.670163021994766694e+01,-2.688927781333074751e+00,3.326217041015625000e+02,3.882226228713989258e+00
