# chan,time,lonWG,latWG,slantRange,lonTarg,latTarg,lrauvHeading,planarRange,lrauvDepth
8.000000000000000000e+00,1.760562395177547932e+09,-1.219364821020050016e+02,3.669360000446411618e+01,6.141848373413085938e+01,-1.219364843803319616e+02,3.669359963383561762e+01,0.000000000000000000e+00,6.141848373413085938e+01,-4.034250080585479736e-01
8.000000000000000000e+00,1.760562395199444771e+09,-1.219364818993934847e+02,3.669360006860470946e+01,-1.000000000000000000e+00,-1.219364843803319616e+02,3.669359963383561762e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.034085571765899658e-01
8.000000000000000000e+00,1.760562396880093813e+09,-1.219363636487229741e+02,3.669360047743218445e+01,-1.000000000000000000e+00,-1.219364843803319616e+02,3.669359963383561762e+01,-2.399999999999999911e-01,0.000000000000000000e+00,-4.030535221099853516e-01
8.000000000000000000e+00,1.760562398787821531e+09,-1.219361482000471284e+02,3.669364147364983353e+01,8.212712860107421875e+01,-1.219367662458798662e+02,3.669356327636288029e+01,-2.399999999999999911e-01,8.212712860107421875e+01,-2.550319582223892212e-02
8.000000000000000000e+00,1.760562398945971966e+09,-1.219361033503893736e+02,3.669369241962719741e+01,-1.000000000000000000e+00,-1.219367662458798662e+02,3.669356327636288029e+01,-1.199999999999999956e-01,0.000000000000000000e+00,5.006221532821655273e-01
8.000000000000000000e+00,1.760562400990561247e+09,-1.219361755684033710e+02,3.669392566319935156e+01,-1.000000000000000000e+00,-1.219367662458798662e+02,3.669356327636288029e+01,-1.199999999999999956e-01,0.000000000000000000e+00,4.844932079315185547e+00
8.000000000000000000e+00,1.760562403117343903e+09,-1.219364697636959960e+02,3.669405141210986443e+01,-1.000000000000000000e+00,-1.219367662458798662e+02,3.669356327636288029e+01,-1.199999999999999956e-01,0.000000000000000000e+00,7.723192214965820312e+00
8.000000000000000000e+00,1.760562405324439764e+09,-1.219367879446366913e+02,3.669396533471253008e+01,-1.000000000000000000e+00,-1.219367662458798662e+02,3.669356327636288029e+01,-1.199999999999999956e-01,0.000000000000000000e+00,1.031699943542480469e+01
8.000000000000000000e+00,1.760562407289317369e+09,-1.219369159284964894e+02,3.669378979678067765e+01,2.517318725585937500e+01,-1.219370172796839427e+02,3.669379491342690613e+01,0.000000000000000000e+00,2.517318725585937500e+01,1.279376697540283203e+01
8.000000000000000000e+00,1.760562407439430714e+09,-1.219369261119395276e+02,3.669372157940972556e+01,-1.000000000000000000e+00,-1.219370172796839427e+02,3.669379491342690613e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.372567081451416016e+01
8.000000000000000000e+00,1.760562409694931507e+09,-1.219368793267721713e+02,3.669344695840113957e+01,-1.000000000000000000e+00,-1.219370172796839427e+02,3.669379491342690613e+01,2.399999999999999911e-01,0.000000000000000000e+00,1.789961051940917969e+01
8.000000000000000000e+00,1.760562411760924339e+09,-1.219369735856420363e+02,3.669321406960509080e+01,-1.000000000000000000e+00,-1.219370172796839427e+02,3.669379491342690613e+01,2.399999999999999911e-01,0.000000000000000000e+00,2.109731674194335938e+01
8.000000000000000000e+00,1.760562413806592226e+09,-1.219372270879753444e+02,3.669331029782794928e+01,-1.000000000000000000e+00,-1.219370172796839427e+02,3.669379491342690613e+01,1.199999999999999956e-01,0.000000000000000000e+00,2.195398330688476562e+01
8.000000000000000000e+00,1.760562415905645847e+09,-1.219371202840250419e+02,3.669355103074464353e+01,-1.000000000000000000e+00,-1.219370172796839427e+02,3.669379491342690613e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.167290306091308594e+01
