# chan,time,lonWG,latWG,slantRange,lonTarg,latTarg,lrauvHeading,planarRange,lrauvDepth
8.000000000000000000e+00,1.760248765933764696e+09,-1.219362931978631650e+02,3.669373258763936008e+01,9.456187133789062500e+02,-1.219364566708382682e+02,3.669359503703594783e+01,8.516339255989488488e-02,9.456187133789062500e+02,2.523543596267700195e+00
8.000000000000000000e+00,1.760248775919063568e+09,-1.219357768281983851e+02,3.669395513951893406e+01,9.394172973632812500e+02,-1.219352240267397036e+02,3.669419636852455824e+01,1.454115988616182242e-02,9.394172973632812500e+02,1.946932220458984375e+01
8.000000000000000000e+00,1.760248784598872662e+09,-1.219350041247314209e+02,3.669399793324812009e+01,9.651238403320312500e+02,-1.219407797940789351e+02,3.669883069279347154e+01,3.145411598861618252e-01,9.651238403320312500e+02,2.802758789062500000e+01
8.000000000000000000e+00,1.760248790826381683e+09,-1.219343294992220734e+02,3.669410817781078293e+01,9.838556518554687500e+02,-1.219411574145372867e+02,3.670003896263451537e+01,6.145411598861618696e-01,9.838556518554687500e+02,2.158819007873535156e+01
8.000000000000000000e+00,1.760248798007067204e+09,-1.219336534547762767e+02,3.669441146387710262e+01,9.886390991210937500e+02,-1.219410120706388199e+02,3.670062181528940926e+01,9.145411598861619140e-01,9.886390991210937500e+02,2.695484542846679688e+01
8.000000000000000000e+00,1.760248805105556488e+09,-1.219330425318197229e+02,3.669495405628895668e+01,9.734674682617187500e+02,-1.219408448334744861e+02,3.670091951393020224e+01,1.214541159886161958e+00,9.734674682617187500e+02,1.081912326812744141e+01
8.000000000000000000e+00,1.760248813160144806e+09,-1.219326664216593485e+02,3.669561788880116637e+01,9.417455444335937500e+02,-1.219407061169984274e+02,3.670091963220384201e+01,1.514541159886162003e+00,9.417455444335937500e+02,3.048957586288452148e+00
8.000000000000000000e+00,1.760248822726127386e+09,-1.219325922655203556e+02,3.669614065958187865e+01,9.063121948242187500e+02,-1.219407885587541500e+02,3.670082339507101210e+01,1.814541159886162047e+00,9.063121948242187500e+02,2.091391181945800781e+01
8.000000000000000000e+00,1.760248833035355091e+09,-1.219327347704443554e+02,3.669674879635314113e+01,8.521193847656250000e+02,-1.219406914595632827e+02,3.670085114538984783e+01,2.114541159886162092e+00,8.521193847656250000e+02,2.685139846801757812e+01
8.000000000000000000e+00,1.760248841933206081e+09,-1.219330453299257329e+02,3.669723993947888374e+01,7.957326660156250000e+02,-1.219406072757614794e+02,3.670090491094987328e+01,2.338733077481684131e+00,7.957326660156250000e+02,2.269849205017089844e+01
